deployment,endpoint,requests,sent,dropped,2xx,3xx,4xx,5xx,errors,lat_avg_ms,lat_med_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,rps,app_n,app_cpu_avg_pct,app_cpu_max_pct,app_mem_max_mib,app_pids_max,traefik_n,traefik_cpu_avg_pct,traefik_cpu_max_pct,traefik_mem_max_mib,traefik_pids_max,static_n,static_cpu_avg_pct,static_cpu_max_pct,static_mem_max_mib,static_pids_max,db_n,db_cpu_avg_pct,db_cpu_max_pct,db_mem_max_mib,db_pids_max,redis_n,redis_cpu_avg_pct,redis_cpu_max_pct,redis_mem_max_mib,redis_pids_max,opensearch_n,opensearch_cpu_avg_pct,opensearch_cpu_max_pct,opensearch_mem_max_mib,opensearch_pids_max
single,detail,5000,5000,0,5000,0,0,0,0,11.14,11.67,14.41,15.36,18.88,48.6,16.664,1,13.01,23.09,95.6,11,1,2.96,7.11,64.5,13,1,0.0,0.0,7.7,9,1,2.39,4.01,23.0,7,1,1.04,1.5,10.0,6,1,1.26,4.6,1173.5,129
x3,static,1,1,0,1,0,0,0,0,2.52,2.52,2.52,2.52,2.52,2.52,0.003,3,0.04,2.22,171.3,33,1,0.04,0.58,22.9,12,1,0.0,0.0,7.5,9,1,0.57,11.37,25.6,12,1,1.13,2.26,10.0,6,1,3.6,35.61,1148.9,139
x3,static,10,10,0,10,0,0,0,0,8.45,8.62,12.01,14.31,16.14,16.6,0.033,3,0.03,0.96,146.2,33,1,0.05,2.05,23.8,12,1,0.0,0.0,7.5,9,1,0.43,2.39,22.6,8,1,1.13,1.56,10.0,6,1,2.68,7.51,1154.0,140
x3,static,100,100,0,100,0,0,0,0,7.4,6.86,11.4,12.03,14.89,19.23,0.333,3,0.02,1.22,152.2,33,1,0.41,2.33,31.1,13,1,0.03,0.16,7.9,9,1,0.38,3.05,22.5,7,1,1.12,1.87,10.0,6,1,2.13,9.6,1152.0,135
x3,static,1000,1000,0,1000,0,0,0,0,8.39,9.04,10.97,12.2,15.2,27.96,3.332,3,0.01,0.33,156.0,33,1,1.7,7.34,41.7,13,1,0.29,0.45,7.8,9,1,0.47,3.15,22.5,7,1,1.07,2.35,9.7,6,1,2.31,9.99,1157.1,136
x3,static,5000,5000,0,5000,0,0,0,0,7.61,8.23,10.22,11.24,15.18,54.19,16.661,3,0.03,0.81,157.8,33,1,5.83,8.04,46.4,13,1,1.27,2.38,8.3,9,1,0.49,2.33,22.6,7,1,1.0,1.65,10.0,6,1,2.39,26.67,1157.1,136
x3,aggregation,1,1,0,1,0,0,0,0,36.66,36.66,36.66,36.66,36.66,36.66,0.003,3,0.03,1.13,161.8,33,1,0.07,3.9,45.5,13,1,0.0,0.11,7.7,9,1,0.43,2.6,22.5,7,1,1.09,1.61,9.7,6,1,1.99,13.17,1163.3,136
x3,aggregation,10,10,0,10,0,0,0,0,17.68,17.27,22.9,27.27,30.77,31.64,0.033,3,0.02,0.97,165.4,33,1,0.06,1.57,37.5,13,1,0.0,0.0,7.7,9,1,0.41,2.53,22.7,7,1,1.11,1.77,10.0,6,1,1.66,6.14,1164.3,136
x3,aggregation,100,100,0,100,0,0,0,0,12.5,10.73,18.59,24.47,35.94,48.25,0.333,3,0.39,10.72,169.4,33,1,0.42,5.2,38.2,13,1,0.0,0.0,7.7,9,1,0.44,3.54,22.5,7,1,1.1,1.86,10.0,6,1,1.78,6.52,1163.3,136
x3,aggregation,1000,1000,0,1000,0,0,0,0,11.28,12.02,14.82,16.41,20.77,53.23,3.332,3,2.73,23.8,181.9,33,1,0.99,6.28,38.5,13,1,0.0,0.0,7.7,9,1,0.37,3.05,22.5,7,1,1.13,1.77,10.0,6,1,1.65,5.09,1163.3,136
x3,aggregation,5000,5000,0,5000,0,0,0,0,9.23,9.9,12.33,13.12,16.88,55.16,16.661,3,10.58,25.84,265.7,33,1,3.19,5.35,38.9,13,1,0.0,0.0,7.7,9,1,0.37,2.57,22.5,7,1,1.13,1.68,9.8,6,1,1.51,8.31,1162.2,136
x3,search,1,1,0,1,0,0,0,0,76.19,76.19,76.19,76.19,76.19,76.19,0.003,3,0.05,1.83,264.9,33,1,0.05,2.06,37.0,13,1,0.0,0.0,7.7,9,1,0.43,3.14,26.0,12,1,1.07,1.6,10.0,6,1,1.59,5.71,1165.3,137
x3,search,10,10,0,10,0,0,0,0,83.71,48.97,107.37,233.86,335.05,360.35,0.033,3,0.05,1.4,269.1,33,1,0.05,1.89,37.4,13,1,0.0,0.0,7.7,9,1,0.44,2.49,26.0,14,1,1.13,1.46,10.1,6,1,1.62,3.89,1165.3,137
x3,search,100,100,0,100,0,0,0,0,30.72,29.49,44.97,49.72,52.87,53.19,0.333,3,0.63,8.51,268.6,33,1,0.28,2.37,43.3,13,1,0.0,0.0,7.7,9,1,0.68,2.77,33.0,16,1,1.09,1.55,10.1,6,1,2.79,10.36,1233.9,137
x3,search,1000,1000,0,1000,0,0,0,0,25.6,26.22,33.58,35.33,40.47,54.88,3.333,3,3.71,10.33,269.3,33,1,1.01,5.78,38.6,13,1,0.0,0.0,7.7,9,1,0.9,3.35,32.5,18,1,0.91,1.34,10.1,6,1,7.74,78.14,1186.8,137
x3,search,5000,5000,0,5000,0,0,0,0,13.7,13.38,18.78,20.17,23.4,57.53,16.663,3,10.63,30.5,282.1,33,1,1.72,4.65,38.7,14,1,0.0,0.0,7.7,9,1,1.76,4.45,32.2,12,1,0.51,1.14,9.8,6,1,14.45,51.62,1201.2,139
x3,detail,1,1,0,1,0,0,0,0,37.16,37.16,37.16,37.16,37.16,37.16,0.003,3,0.02,0.81,280.7,33,1,0.04,1.7,38.2,14,1,0.0,0.0,7.7,9,1,0.4,2.29,24.3,8,1,1.05,1.63,10.1,6,1,1.68,5.71,1201.2,138
x3,detail,10,10,0,10,0,0,0,0,38.57,39.91,48.33,51.77,54.53,55.22,0.033,3,0.05,1.16,279.3,33,1,0.05,2.28,37.2,14,1,0.0,0.0,7.7,9,1,0.47,2.95,24.5,8,1,1.09,1.62,10.1,6,1,1.74,11.96,1202.2,138
x3,detail,100,100,0,100,0,0,0,0,19.53,16.6,32.14,35.37,47.6,64.04,0.333,3,0.43,6.75,281.6,33,1,0.34,4.45,37.4,14,1,0.0,0.0,7.7,9,1,0.6,3.28,27.8,15,1,1.13,2.62,10.1,6,1,1.75,5.4,1202.2,138
x3,detail,1000,1000,0,1000,0,0,0,0,14.23,15.37,18.53,19.86,24.65,56.05,3.332,3,3.41,21.86,282.5,33,1,1.04,8.41,37.6,14,1,0.0,0.0,7.7,9,1,0.85,3.17,26.5,9,1,1.07,1.57,10.1,6,1,1.54,4.46,1202.2,138
x3,detail,5000,5000,0,5000,0,0,0,0,11.05,10.97,15.2,16.18,19.3,51.5,16.663,3,13.98,39.75,286.6,33,1,2.92,8.32,37.7,14,1,0.0,0.0,7.7,9,1,2.26,4.51,27.3,10,1,0.92,1.21,10.1,6,1,1.6,12.71,1202.2,138
