deployment,endpoint,requests,container,role,samples,cpu_avg_pct,cpu_max_pct,mem_max_mib,pids_max
single,search,5000,software-architecture-static-nginx-1,static,82,0.0,0.0,7.7,9
single,search,5000,traefik,traefik,82,1.79,8.42,66.1,13
single,detail,1,opensearch,opensearch,80,1.61,5.06,1173.5,129
single,detail,1,software-architecture-app-1,app,80,0.0,0.14,57.1,11
single,detail,1,software-architecture-db-1,db,80,0.4,2.73,23.0,12
single,detail,1,software-architecture-redis-1,redis,80,1.19,1.62,10.0,6
single,detail,1,software-architecture-static-nginx-1,static,80,0.0,0.0,7.7,9
single,detail,1,traefik,traefik,80,0.03,0.68,63.6,13
single,detail,10,opensearch,opensearch,80,1.52,5.16,1173.5,129
single,detail,10,software-architecture-app-1,app,80,0.07,2.07,58.6,11
single,detail,10,software-architecture-db-1,db,80,0.41,2.35,22.8,7
single,detail,10,software-architecture-redis-1,redis,80,1.2,1.58,10.0,6
single,detail,10,software-architecture-static-nginx-1,static,80,0.0,0.0,7.7,9
single,detail,10,traefik,traefik,80,0.17,3.59,63.9,13
single,detail,100,opensearch,opensearch,81,1.53,4.45,1173.5,129
single,detail,100,software-architecture-app-1,app,81,0.35,1.84,63.4,11
single,detail,100,software-architecture-db-1,db,81,0.52,2.76,23.0,13
single,detail,100,software-architecture-redis-1,redis,81,1.24,4.35,10.0,6
single,detail,100,software-architecture-static-nginx-1,static,81,0.0,0.0,7.7,9
single,detail,100,traefik,traefik,81,0.38,4.29,64.0,13
single,detail,1000,opensearch,opensearch,81,1.52,6.43,1173.5,129
single,detail,1000,software-architecture-app-1,app,81,3.18,8.48,90.5,11
single,detail,1000,software-architecture-db-1,db,81,0.89,2.69,22.9,7
single,detail,1000,software-architecture-redis-1,redis,81,1.18,1.86,10.0,6
single,detail,1000,software-architecture-static-nginx-1,static,81,0.0,0.0,7.7,9
single,detail,1000,traefik,traefik,81,0.94,6.88,64.2,13
single,detail,5000,opensearch,opensearch,81,1.26,4.6,1173.5,129
single,detail,5000,software-architecture-app-1,app,81,13.01,23.09,95.6,11
single,detail,5000,software-architecture-db-1,db,81,2.39,4.01,23.0,7
single,detail,5000,software-architecture-redis-1,redis,81,1.04,1.5,10.0,6
single,detail,5000,software-architecture-static-nginx-1,static,81,0.0,0.0,7.7,9
single,detail,5000,traefik,traefik,81,2.96,7.11,64.5,13
x3,static,1,minikube,other,83,0.29,4.0,69.7,50
x3,static,1,opensearch,opensearch,83,3.6,35.61,1148.9,139
x3,static,1,software-architecture-app-1,app,83,0.01,0.76,47.1,11
x3,static,1,software-architecture-app-2,app,83,0.01,0.27,48.5,11
x3,static,1,software-architecture-app-3,app,83,0.02,1.19,75.7,11
x3,static,1,software-architecture-db-1,db,83,0.57,11.37,25.6,12
x3,static,1,software-architecture-redis-1,redis,83,1.13,2.26,10.0,6
x3,static,1,software-architecture-static-assets-1,static,83,0.0,0.0,7.5,9
