deployment,endpoint,target_rps,achieved_rps,error_pct,lat_med_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,app_cpu_avg_pct,app_mem_max_mib,app_pids_max,traefik_cpu_avg_pct,traefik_mem_max_mib,traefik_pids_max,static_cpu_avg_pct,static_mem_max_mib,static_pids_max,db_cpu_avg_pct,db_mem_max_mib,db_pids_max,redis_cpu_avg_pct,redis_mem_max_mib,redis_pids_max,opensearch_cpu_avg_pct,opensearch_mem_max_mib,opensearch_pids_max
single,detail,25,25,0,8.3,13.4,16.1,22.4,15.3,107.7,11,3.6,772.7,14,0.0,7.7,9,2.9,22.7,7,0.9,9.8,6,1.2,1326.1,131
x3,detail,25,25,0,8.7,12.1,14.5,40.7,18.5,246.5,33,2.8,694.8,14,0.0,7.7,9,2.6,26.5,9,0.8,9.6,6,1.7,1280.0,136
single,detail,50,50,0,5.5,8.2,11.4,47.9,17.1,110.1,11,4.6,772.9,14,0.0,7.7,9,3.7,27.8,10,0.9,9.8,6,0.8,1326.1,131
x3,detail,50,50,0,5.4,8.2,10.0,27.0,19.9,287.4,33,4.0,694.3,14,0.0,7.7,9,3.3,26.3,9,0.8,9.9,6,1.1,1280.0,136
single,detail,100,100,0,4.0,5.8,8.2,29.8,24.2,110.2,11,7.0,437.1,14,0.0,7.7,9,5.1,24.5,8,0.9,9.6,6,0.9,1326.1,131
x3,detail,100,100,0,3.9,5.9,8.7,61.3,26.8,289.2,33,6.2,562.8,14,0.0,7.7,9,5.1,35.8,15,0.8,9.9,6,1.1,1280.0,136
single,detail,200,200,0,3.0,5.1,11.6,72.1,33.7,111.2,11,9.9,472.5,14,0.0,7.7,9,7.4,29.9,11,1.1,9.8,6,0.4,1326.1,131
x3,detail,200,200,0,3.8,10.5,58.0,185.7,45.5,292.7,33,11.1,564.7,14,0.0,7.7,9,8.8,47.8,21,1.1,9.6,6,0.9,1280.0,136
single,detail,300,300,0,2.9,7.6,18.8,94.0,49.4,112.6,11,13.7,538.6,14,0.0,7.7,9,11.2,30.0,11,1.4,9.6,6,0.9,1326.1,131
x3,detail,300,300,0,3.2,6.0,14.4,101.8,59.5,294.1,33,14.0,407.1,14,0.0,7.7,9,11.9,47.7,21,1.4,9.9,6,1.0,1280.0,136
single,detail,400,400,0,3.4,14.5,40.7,111.0,69.0,125.8,11,17.9,603.7,14,0.0,7.7,9,14.5,31.2,17,1.7,9.6,6,0.7,1326.1,131
x3,detail,400,400,0,3.5,8.0,24.3,91.3,86.3,295.7,33,19.1,407.0,14,0.0,7.7,9,15.6,47.9,21,1.8,9.6,6,0.6,1280.0,136
single,detail,600,594.4,0,332.7,468.4,502.8,533.3,80.4,219.3,11,24.2,708.8,14,0.0,7.7,9,18.2,30.5,11,2.0,9.6,6,0.6,1326.1,131
x3,detail,600,600,0,6.2,23.8,50.6,146.0,119.6,302.0,33,25.9,414.2,14,0.0,7.7,9,21.1,48.0,21,2.5,9.6,6,0.7,1280.0,136
